date,E-Today(KWH)
17-07-2025,20
17-07-2025,20
17-07-2025,20
17-07-2025,20
17-07-2025,20
17-07-2025,20
17-07-2025,20
18-07-2025,50
18-07-2025,50
18-07-2025,50
18-07-2025,50
18-07-2025,50
18-07-2025,50
18-07-2025,50
18-07-2025,50
18-07-2025,50
18-07-2025,50
18-07-2025,50
18-07-2025,50
18-07-2025,50
18-07-2025,50
18-07-2025,50
18-07-2025,50
19-07-2025,52
19-07-2025,52
19-07-2025,52
19-07-2025,52
19-07-2025,52
19-07-2025,52
19-07-2025,52
19-07-2025,52
19-07-2025,52
19-07-2025,52
20-07-2025,50
21-07-2025,39
22-07-2025,27
23-07-2025,6
23-07-2025,6
23-07-2025,6
23-07-2025,6
23-07-2025,6
23-07-2025,6
23-07-2025,6
23-07-2025,6
24-07-2025,40
25-07-2025,50
26-07-2025,47
26-07-2025,47
27-07-2025,48
28-07-2025,48
29-07-2025,50
30-07-2025,45
31-07-2025,43
01-08-2025,46
02-08-2025,56
03-08-2025,55
04-08-2025,47
04-08-2025,47
04-08-2025,47
04-08-2025,47
05-08-2025,42
06-08-2025,51
06-08-2025,51
06-08-2025,51
06-08-2025,51
06-08-2025,51
06-08-2025,51
06-08-2025,51
06-08-2025,51
06-08-2025,51
06-08-2025,51
06-08-2025,51
06-08-2025,51
07-08-2025,28
07-08-2025,28
08-08-2025,41
09-08-2025,49
10-08-2025,38
10-08-2025,38
10-08-2025,38
10-08-2025,38
10-08-2025,38
10-08-2025,38
10-08-2025,38
10-08-2025,38
11-08-2025,46
11-08-2025,46
12-08-2025,39
12-08-2025,39
12-08-2025,39
12-08-2025,39
12-08-2025,39
12-08-2025,39
12-08-2025,39
12-08-2025,39
13-08-2025,18
14-08-2025,32
14-08-2025,32
15-08-2025,17
16-08-2025,31
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
17-08-2025,18
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
18-08-2025,14
